"","date","direction","cost","sell","sell_date","margin","margin_rate"
"1",2,"long",1.107,1.212,10,0.105,0.0948509485094851
"2",12,"long",1.239,1.208,12,-0.0310000000000001,-0.0250201775625506
"3",14,"long",1.234,1.232,17,-0.002,-0.00162074554294976
"4",24,"long",1.169,1.197,28,0.028,0.0239520958083833
"5",29,"long",1.211,1.201,31,-0.01,-0.00825763831544179
"6",34,"long",1.165,1.203,38,0.038,0.032618025751073
"7",40,"long",1.198,1.203,42,0.00500000000000012,0.00417362270450761
"8",44,"long",1.234,1.205,45,-0.0289999999999999,-0.0235008103727714
"9",46,"long",1.217,1.191,47,-0.026,-0.0213640098603123
"10",49,"long",1.196,1.196,49,0,0
